alcohol;sulphates;volatile acidity;citric acid;residual sugar;pH;quality
9.4;0.56;0.7;0.0;1.9;3.51;5
9.8;0.68;0.88;0.0;2.6;3.2;5
9.8;0.65;0.76;0.04;2.3;3.26;5
9.8;0.58;0.28;0.56;1.9;3.16;6
9.4;0.56;0.7;0.0;1.9;3.51;5
9.4;0.56;0.66;0.0;1.8;3.51;5
9.4;0.46;0.6;0.06;1.6;3.3;5
10.0;0.47;0.65;0.0;1.2;3.39;7
9.5;0.57;0.58;0.02;2.0;3.36;7
10.5;0.8;0.5;0.36;6.1;3.35;5
9.2;0.54;0.58;0.08;1.8;3.28;5
10.5;0.8;0.5;0.36;6.1;3.35;5
9.9;0.52;0.615;0.0;1.6;3.58;5
9.1;1.56;0.61;0.29;1.6;3.26;5
9.2;0.88;0.62;0.18;3.8;3.16;5
9.2;0.93;0.62;0.19;3.9;3.17;5
10.5;0.75;0.28;0.56;1.8;3.3;7
9.3;1.28;0.56;0.28;1.7;3.11;5
9.0;0.5;0.59;0.08;4.4;3.38;4
9.2;1.08;0.32;0.51;1.8;3.04;6
9.4;0.53;0.22;0.48;1.8;3.39;6
9.7;0.65;0.39;0.31;2.3;3.52;5
9.5;0.91;0.43;0.21;1.6;3.17;5
9.4;0.53;0.49;0.11;2.3;3.17;5
9.7;0.63;0.4;0.14;2.4;3.43;6
9.3;0.56;0.39;0.16;1.4;3.34;5
9.5;0.59;0.41;0.24;1.8;3.28;5
9.5;0.91;0.43;0.21;1.6;3.17;5
9.4;0.55;0.71;0.0;1.9;3.47;5
9.8;0.59;0.645;0.0;2.0;3.38;6
10.1;0.54;0.675;0.07;2.4;3.35;5
10.6;0.57;0.685;0.0;2.5;3.46;6
9.8;0.66;0.655;0.12;2.3;3.17;5
9.4;0.52;0.605;0.12;10.7;3.45;6
9.2;0.55;0.32;0.25;1.8;3.38;5
9.6;0.55;0.645;0.0;5.5;3.4;6
10.8;0.6;0.6;0.14;2.4;3.42;6
9.7;0.73;0.38;0.28;2.1;3.23;7
9.8;0.48;1.13;0.09;1.5;3.5;4
10.5;0.83;0.45;0.36;5.9;3.33;5
10.5;0.83;0.45;0.36;5.9;3.33;5
9.3;0.51;0.61;0.3;2.8;3.26;4
10.5;0.9;0.49;0.2;2.6;3.21;6
10.3;1.2;0.66;0.22;2.2;3.3;5
9.5;0.52;0.67;0.02;1.8;3.48;5
13.1;0.56;0.52;0.15;2.1;3.9;4
9.2;0.73;0.935;0.43;2.2;3.25;5
9.5;0.58;0.29;0.52;1.6;3.25;5
9.2;0.56;0.4;0.23;1.6;3.34;5
9.2;0.58;0.31;0.37;1.4;3.32;5
9.2;0.74;0.66;0.26;1.7;3.15;5
9.4;0.63;0.52;0.04;2.2;3.4;6
9.4;0.64;0.5;0.04;2.1;3.39;6
9.4;0.56;0.38;0.36;3.0;3.2;5
10.2;0.63;0.51;0.15;2.8;3.17;6
9.5;0.53;0.62;0.04;3.8;3.34;5
9.6;0.63;0.42;0.57;3.4;3.04;5
9.4;0.77;0.63;0.12;5.1;3.26;5
10.0;0.59;0.59;0.18;2.3;3.43;5
9.4;0.54;0.39;0.31;2.4;3.41;6
9.2;0.64;0.4;0.4;2.2;3.44;5
9.3;0.71;0.69;0.49;1.8;3.21;5
9.5;0.62;0.52;0.16;1.9;3.38;7
9.8;0.57;0.735;0.05;2.0;3.39;5
10.9;0.39;0.725;0.05;4.65;3.41;5
10.9;0.39;0.725;0.05;4.65;3.41;5
9.6;0.58;0.52;0.11;1.5;3.42;5
10.7;0.58;0.705;0.07;1.6;3.44;5
10.7;0.79;0.32;0.57;2.0;3.28;5
10.5;0.95;0.705;0.05;1.9;3.34;6
9.5;0.54;0.63;0.08;1.9;3.32;6
9.5;0.48;0.67;0.23;2.1;3.32;5
9.5;0.48;0.69;0.22;1.9;3.31;5
9.2;0.53;0.675;0.26;2.1;3.31;4
9.6;0.82;0.32;0.54;2.5;3.28;5
10.5;0.66;0.41;0.64;2.2;3.54;5
10.5;0.66;0.41;0.64;2.2;3.54;5
10.7;0.55;0.785;0.0;2.4;3.52;6
10.1;0.52;0.75;0.12;2.0;3.38;5
9.1;1.12;0.625;0.2;1.5;3.16;4
9.2;0.56;0.45;0.2;1.6;3.41;5
9.4;1.28;0.43;0.7;1.9;3.13;5
9.1;0.57;0.5;0.47;2.0;3.36;5
9.4;1.14;0.67;0.26;1.8;3.16;5
10.3;0.78;0.3;0.48;1.8;3.44;6
10.1;0.59;0.55;0.15;2.2;3.41;5
9.9;1.95;0.49;0.28;1.9;2.93;6
9.6;0.64;0.49;0.26;1.9;3.39;5
9.5;1.22;0.39;0.44;2.1;3.14;5
9.0;0.53;0.62;0.08;1.8;3.48;5
9.5;0.54;0.52;0.26;1.9;3.23;5
9.9;1.95;0.49;0.28;1.9;2.93;6
9.8;1.98;0.49;0.29;2.0;2.93;5
9.6;0.64;0.49;0.26;1.9;3.39;5
10.5;0.48;1.02;0.04;1.4;3.75;4
12.9;0.6;0.6;0.17;2.3;3.85;6
10.7;0.56;0.775;0.0;3.0;3.45;5
9.2;0.63;0.5;0.25;2.0;3.25;5
9.8;0.56;0.9;0.06;2.5;3.39;5
9.0;0.59;0.545;0.18;1.9;3.3;6
10.2;0.61;0.61;0.3;2.1;3.4;6
10.4;0.56;0.5;0.3;1.9;3.31;6
9.0;0.59;0.545;0.18;1.9;3.3;6
9.2;0.51;0.575;0.22;2.1;3.29;5
9.4;0.48;0.49;0.24;2.2;3.33;5
9.2;0.51;0.575;0.22;2.1;3.29;5
9.3;1.31;0.41;0.68;1.7;3.08;5
9.3;0.79;0.63;0.31;1.7;3.46;5
9.6;0.8;0.33;0.53;2.5;3.37;6
9.3;0.69;0.785;0.52;2.0;3.21;5
9.5;0.93;0.56;0.19;1.8;3.19;5
9.8;0.66;0.62;0.09;2.2;3.15;5
9.8;0.66;0.6;0.1;2.2;3.15;5
9.7;0.67;0.31;0.44;2.3;3.32;6
9.5;0.93;0.56;0.19;1.8;3.19;5
10.5;0.63;0.4;0.31;2.2;3.07;6
10.0;0.61;0.54;0.28;1.9;3.39;6
9.4;0.5;0.56;0.12;2.0;3.37;6
10.9;0.6;0.55;0.04;2.2;3.21;6
9.2;0.54;0.69;0.08;1.8;3.34;6
9.0;0.57;1.07;0.09;1.7;3.3;5
10.9;0.6;0.55;0.04;2.2;3.21;6
9.2;0.52;0.695;0.0;2.5;3.49;5
9.5;0.53;0.71;0.0;2.6;3.44;5
9.5;0.48;0.5;0.17;1.6;3.39;5
9.4;0.7;0.62;0.04;1.9;3.16;5
10.9;0.49;1.33;0.0;1.7;3.53;5
10.9;0.48;1.33;0.0;1.8;3.54;5
10.5;0.92;0.59;0.16;1.8;3.42;7
9.4;0.57;0.38;0.15;1.8;3.42;5
9.4;0.66;0.745;0.56;2.0;3.24;5
13.0;0.63;0.5;0.09;2.3;3.63;5
13.0;0.63;0.5;0.09;2.3;3.63;5
9.8;0.58;0.5;0.01;1.5;3.4;6
9.9;0.55;1.04;0.05;2.2;3.22;6
9.6;0.82;0.745;0.11;1.9;3.19;5
9.5;0.77;0.715;0.15;1.8;3.23;5
9.2;0.64;0.415;0.36;2.0;3.48;5
9.5;0.54;0.56;0.19;2.1;3.33;5
9.5;0.54;0.56;0.19;2.0;3.32;5
9.6;0.82;0.745;0.11;1.9;3.19;5
9.5;0.77;0.715;0.15;1.8;3.23;5
14.0;0.79;0.34;0.0;1.8;3.68;6
9.4;0.58;0.39;0.08;1.7;3.34;5
14.0;0.79;0.34;0.0;1.8;3.68;6
9.4;0.62;0.67;0.55;1.8;3.17;5
10.0;0.52;0.68;0.02;1.8;3.54;5
9.3;0.8;0.49;0.26;1.6;3.11;5
10.2;0.58;0.49;0.1;2.3;3.42;6
10.5;0.61;0.4;0.44;2.8;3.53;6
10.3;0.53;0.33;0.47;2.1;3.33;6
9.4;2.0;0.52;1.0;3.4;2.74;4
10.1;0.54;0.6;0.03;1.8;3.35;5
10.1;0.54;0.6;0.03;1.8;3.35;5
10.5;0.72;0.43;0.42;5.5;3.42;5
10.5;0.71;0.43;0.42;5.5;3.42;5
10.5;0.72;0.43;0.42;5.5;3.42;5
10.5;0.71;0.43;0.42;5.5;3.42;5
9.3;0.5;0.68;0.0;2.2;3.48;5
9.3;0.57;0.6;0.18;1.9;3.59;6
9.6;0.56;0.95;0.03;2.0;3.2;5
9.2;1.08;0.68;0.02;1.3;3.17;4
10.0;0.56;0.53;0.04;1.7;3.33;6
9.4;0.49;0.6;0.26;7.3;3.37;5
9.4;0.49;0.59;0.26;7.2;3.37;5
9.5;0.62;0.63;0.48;1.7;3.19;5
10.2;0.52;0.64;0.1;2.1;3.34;5
9.0;0.48;0.55;0.03;1.6;3.37;4
10.4;0.55;0.63;0.07;2.1;3.47;6
9.5;1.59;0.705;0.24;1.8;3.0;5
9.1;0.33;0.885;0.03;1.8;3.36;4
